source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 ġurnata,
7 days,7 ijiem,
90 days,90 ġurnata,
Acme Corp,Acme Corp,
Active,Attiv,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Oqsma addizzjonali (indirizz, noti, eċċ.) jistgħu jiġu editjati wara li toħloq il-kuntatt.",
Add,Żid,
Add people,Żid persuni,
Adding…,Qed jiżdied…,
Add bookmark,Żid bukkmark,
All logged-in users,L-utenti kollha li dħalu,
All logged-in users can view this document,L-utenti kollha li dħalu jistgħu jaraw dan id-dokument,
Add notes...,Żid noti...,
All,Kollox,
A–Z,A–Ż,
Blank = org default,Vojt = default tal-organizzazzjoni,
Bookmark limit reached (12),Il-limitu tal-bukkmarks intlaħaq (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Il-limitu tal-bukkmarks intlaħaq (12). Neħħi bukkmark biex iżżid ieħor.",
Bookmark this record,Agħmel bukkmark ta' dan ir-rekord,
App context,Kuntest tal-app,
App switcher,Biddiela tal-apps,
Browse all apps →,Ara l-apps kollha →,
Install apps →,Installa apps →,
Cancel,Ikkanċella,
Clear recent items history,Imsaħ l-istorja tal-oġġetti riċenti,
Company,Kumpanija,
Compose email,Ikteb email,
contact,kuntatt,
contacts,kuntatti,
Could not create contact,Ma stajtx jinħoloq il-kuntatt,
Could not load contact,Ma stajtx jitgħabba l-kuntatt,
"Could not add user. Please try again.","Ma stajtx jiżdied l-utent. Jekk jogħġbok erġa' pprova.",
Could not load contacts,Ma stajtx jitgħabbew il-kuntatti,
Could not load shares,Ma stajtx jitgħabbew il-kondivizjonijiet,
Create,Oħloq,
Create & Open,Oħloq u Iftaħ,
Create a contact or adjust your filters,Oħloq kuntatt jew ibdel il-filtri tiegħek,
Creating…,Qed jinħoloq…,
History cleared,L-istorja tneħħiet,
This will remove all recent items. Continue?,Dan se jneħħi l-oġġetti riċenti kollha. Kompli?,
Close,Agħlaq,
Content is temporarily unavailable.,Il-kontenut mhuwiex disponibbli temporanjament.,
Copied!,Ikkupjat!,
Copy link,Ikkopja l-link,
Copy portal URL,Ikkopja l-URL tal-portal,
Dark,Skur,
Date format,Format tad-data,
Default app on login,App default meta tidħol,
Discover ecosystem apps,Iskopri l-apps tal-ekosistema,
Delete,Ħassar,
Displayed in the top bar,Muri fil-bar ta' fuq,
Dock Settings,Issettjar ta' Dock,
Done,Lest,
Done editing,Lest l-editjar,
Drag to reorder {0},Iġbed biex tibdel l-ordni ta' {0},
Edit bookmarks,Editja l-bukkmarks,
e.g. Europe/Berlin,eż. Europe/Berlin,
Email,Email,
Enable bookmarks,Attiva l-bukkmarks,
Everyone,Kulħadd,
Enable global timer,Attiva t-timer globali,
Enable recent items,Attiva l-oġġetti riċenti,
Expired,Skadut,
Expires,Jiskadi,
Expires: {0},Jiskadi: {0},
"Failed to generate link. Please try again.","Ma rnexxiex jiġi ġġenerat il-link. Jekk jogħġbok erġa' pprova.",
Failed to load sessions.,Ma rnexxiex jitgħabbew is-sessjonijiet.,
Features,Karatteristiċi,
Full name,Isem sħiħ,
Frappe Desk,Frappe Desk,
Generate link,Iġġenera link,
Generating…,Qed jiġġenera…,
Guest Portal,Portal tal-Mistiedna,
in {0},f'{0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Installa Orga, Micro, jew apps oħra biex tara l-kuntest bejn l-apps għall-kuntatti tiegħek.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Titlu tax-xogħol,
Keep running,Kompli mexxi,
Label,Tikketta,
Last accessed,L-aħħar aċċess,
Light,Ċar,
Limit,Limitu,
Link expires in:,Il-link jiskadi fi:,
Loading…,Qed jitgħabba…,
Load more,Agħbbi iktar,
Log out,Oħroġ,
Make private,Agħmel privat,
Mark all read,Immarka kollox moqri,
Mark read,Immarka moqri,
Monday,It-Tnejn,
More fields,Iktar oqsma,
My contacts,Il-kuntatti tiegħi,
My Account,Il-Kont Tiegħi,
My Profile,Il-Profil Tiegħi,
Never,Qatt,
New contact,Kuntatt ġdid,
No contacts found,L-ebda kuntatt instab,
No expiry,Mingħajr skadenza,
None,Xejn,
No guest sessions yet.,Għad m'hemmx sessjonijiet tal-mistiedna.,
No recent items,L-ebda oġġetti riċenti,
No recent items yet,Għad m'hemmx oġġetti riċenti,
No results for "{0}",L-ebda riżultati għal "{0}",
"No results for ""{0}"" in {1}","L-ebda riżultati għal ""{0}"" f'{1}",
Notifications,Notifiki,
Notification unavailable,Notifika mhix disponibbli,
Organization Defaults,Defaults tal-Organizzazzjoni,
Organization settings updated — reload to apply,L-issettjar tal-organizzazzjoni ġew aġġornati — erġa' agħbbi biex tapplika,
Org default,Default tal-org,
"Password, 2FA, profile picture","Password, 2FA, ritratt tal-profil",
Pause,Pawża,
paused,fil-pawża,
People,Nies,
People with access,Nies b'aċċess,
Permissions,Permessi,
Pinned,Ippinjat,
Powered by Tonic,Powered by Tonic,
Phone,Telefon,
Private,Privat,
Product Manager,Product Manager,
Preferences,Preferenzi,
Read,Aqra,
Recent,Riċenti,
Reload,Erġa' agħbbi,
Remove bookmark,Neħħi l-bukkmark,
Remove from shared,Neħħi mill-kondiviz,
Remove from recent,Neħħi mir-riċenti,
Resume,Kompli,
Retry,Erġa' pprova,
Revoke,Irrevoka,
Revoked,Revokat,
Revoke session,Irrevoka s-sessjoni,
Revoking…,Qed jiġi revokat…,
Saved,Issejvjat,
Save failed,Is-save ma rnexxiex,
Save organization settings,Issejvja l-issettjar tal-organizzazzjoni,
Saving…,Qed jiġi ssejvjat…,
Search...,Fittex...,
"Search by name, email, or phone…","Fittex bl-isem, email, jew telefon…",
Search users...,Fittex utenti...,
Share {0} {1},Aqsam {0} {1},
Submit,Ibgħat,
Search in All apps,Fittex fl-apps kollha,
Search unavailable,Il-fittex mhuwiex disponibbli,
selected,magħżul,
Share "{0}",Aqsam "{0}",
Share with team,Aqsam mat-tim,
Shared,Maqsum,
Shared with team,Maqsum mat-tim,
Share with client,Aqsam mal-klijent,
Showing {0} of {1} sessions,Qed juru {0} minn {1} sessjoni,
Site label,Tikketta tas-sit,
Sort: A–Z — click for last modified,"Issortja: A–Ż — ikklikkja għall-aħħar modifika",
Sort: last modified — click for A–Z,"Issortja: l-aħħar modifika — ikklikkja għal A–Ż",
Start,Ibda,
Start Timer,Ibda t-Timer,
Status,Status,
Stop,Ieqaf,
Stop & Save,Ieqaf u Ssejvja,
Sunday,Il-Ħadd,
System,Sistema,
Theme,Tema,
Theme preference,Preferenza tat-tema,
This email is already on,Dan l-email diġà attiv,
This link has been deactivated.,Dan il-link ġie diżattivat.,
This link has expired. Please ask the sender for a new link.,Dan il-link skada. Jekk jogħġbok itlob link ġdid mingħand min bagħtu.,
This link is invalid or has been removed.,Dan il-link mhuwiex validu jew tneħħa.,
Time,Ħin,
Time entry saved,Id-dħul tal-ħin ġie ssejvjat,
Timer unavailable,It-timer mhuwiex disponibbli,
Timezone,Żona tal-ħin,
total,total,
Try again,Erġa' pprova,
Unread,Mhux moqri,
Open calendar,Iftaħ il-kalendarju,
Open in Desk,Iftaħ fid-Desk,
Open in {0},Iftaħ f'{0},
User menu,Menu tal-utent,
View existing →,Ara dawk eżistenti →,
Visibility,Viżibbiltà,
View,Ara,
View all notifications,Ara n-notifiki kollha,
View time entry,Ara d-dħul tal-ħin,
Week starts on,Il-ġimgħa tibda nhar,
Write,Ikteb,
What are you working on?,Fuq xiex qed taħdem?,
You're all caught up,Laħaqt kollox,
Your Preferences,Il-Preferenzi Tiegħek,
Your timer has been running for {0},It-timer tiegħek ilu mixgħul {0},
Actions,Azzjonijiet,
Add details about this event...,Żid dettalji dwar dan l-avveniment...,
Add event,Żid avveniment,
Agenda,Aġenda,
All day,Il-ġurnata kollha,
Calendar,Kalendarju,
Create Event,Oħloq Avveniment,
Create in:,Oħloq fi:,
Day,Ġurnata,
Deadline,Skadenza,
Delete Event,Ħassar l-Avveniment,
Delete this event? This cannot be undone.,Ħassar dan l-avveniment? Dan ma jistax jiġi reversjat.,
Deleting…,Qed jitħassar…,
Description,Deskrizzjoni,
Details,Dettalji,
End,Tmiem,
Event,Avveniment,
Event title,Titlu tal-avveniment,
Failed to create event,Ma rnexxiex jinħoloq l-avveniment,
Failed to delete event,Ma rnexxiex jitħassar l-avveniment,
Manage this event in,Immaniġġja dan l-avveniment fi,
Meeting,Laqgħa,
Milestone,Milestone,
Month,Xahar,
My calendars,Il-kalendarji tiegħi,
