source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 ရက်,
7 days,7 ရက်,
90 days,90 ရက်,
Acme Corp,Acme Corp,
Active,အသက်ဝင်,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","နောက်ထပ်အကွက်များ (လိပ်စာ, မှတ်စု, စသည်) ကို အဆက်အသွယ်ဖန်တီးပြီးနောက် တည်းဖြတ်နိုင်ပါသည်။",
Add,ထည့်,
Add people,လူများထည့်,
Adding…,ထည့်နေသည်…,
Add bookmark,စာမှတ်ထည့်,
All logged-in users,ဝင်ရောက်ထားသော အသုံးပြုသူအားလုံး,
All logged-in users can view this document,ဝင်ရောက်ထားသော အသုံးပြုသူအားလုံး ဤစာရွက်စာတမ်းကို ကြည့်နိုင်ပါသည်,
Add notes...,မှတ်စုများထည့်...,
All,အားလုံး,
A–Z,A–Z,
Blank = org default,ဗလာ = အဖွဲ့အစည်းပုံသေ,
Bookmark limit reached (12),စာမှတ်ကန့်သတ်ချက်ပြည့်ပြီ (12),
Bookmark limit reached (12). Remove a bookmark to add another.,စာမှတ်ကန့်သတ်ချက်ပြည့်ပြီ (12)။ အခြားတစ်ခုထည့်ရန် စာမှတ်တစ်ခုဖယ်ရှားပါ။,
Bookmark this record,ဤမှတ်တမ်းကို စာမှတ်လုပ်,
App context,အက်ပ်အကြောင်းအရာ,
App switcher,အက်ပ်ပြောင်းကိရိယာ,
Browse all apps →,အက်ပ်အားလုံးကြည့်ရန် →,
Install apps →,အက်ပ်များတပ်ဆင် →,
Cancel,ပယ်ဖျက်,
Clear recent items history,မကြာသေးမီ အရာများ မှတ်တမ်းရှင်းလင်း,
Company,ကုမ္ပဏီ,
Compose email,အီးမေးလ်ရေးသား,
contact,အဆက်အသွယ်,
contacts,အဆက်အသွယ်များ,
Could not create contact,အဆက်အသွယ်ဖန်တီး၍မရပါ,
Could not load contact,အဆက်အသွယ်ဖွင့်၍မရပါ,
Could not add user. Please try again.,အသုံးပြုသူထည့်၍မရပါ။ ထပ်ကြိုးစားပါ။,
Could not load contacts,အဆက်အသွယ်များဖွင့်၍မရပါ,
Could not load shares,မျှဝေမှုများဖွင့်၍မရပါ,
Create,ဖန်တီး,
Create & Open,ဖန်တီးပြီး ဖွင့်,
Create a contact or adjust your filters,အဆက်အသွယ်ဖန်တီးပါ သို့မဟုတ် စစ်ထုတ်မှုများချိန်ညှိပါ,
Creating…,ဖန်တီးနေသည်…,
History cleared,မှတ်တမ်းရှင်းလင်းပြီး,
This will remove all recent items. Continue?,ဤသည် မကြာသေးမီ အရာများအားလုံးကို ဖယ်ရှားပါမည်။ ဆက်လုပ်မလား?,
Close,ပိတ်,
Content is temporarily unavailable.,အကြောင်းအရာ ယာယီမရရှိနိုင်ပါ။,
Copied!,ကူးယူပြီး!,
Copy link,လင့်ခ်ကူးယူ,
Copy portal URL,ပေါ်တယ် URL ကူးယူ,
Dark,အမှောင်,
Date format,ရက်စွဲပုံစံ,
Default app on login,ဝင်ရောက်ချိန် ပုံသေအက်ပ်,
Discover ecosystem apps,ဂေဟစနစ်အက်ပ်များရှာဖွေ,
Delete,ဖျက်,
Displayed in the top bar,ထိပ်ဘားတွင် ပြသထား,
Dock Settings,Dock ဆက်တင်များ,
Done,ပြီးပြီ,
Done editing,တည်းဖြတ်ပြီး,
Drag to reorder {0},{0} ကို ပြန်စီရန် ဆွဲယူ,
Edit bookmarks,စာမှတ်များတည်းဖြတ်,
e.g. Europe/Berlin,ဥပမာ Europe/Berlin,
Email,အီးမေးလ်,
Enable bookmarks,စာမှတ်များဖွင့်,
Everyone,လူတိုင်း,
Enable global timer,ကမ္ဘာလုံးဆိုင်ရာ အချိန်တိုင်းကိရိယာဖွင့်,
Enable recent items,မကြာသေးမီ အရာများဖွင့်,
Expired,သက်တမ်းကုန်,
Expires,သက်တမ်းကုန်,
Expires: {0},သက်တမ်းကုန်: {0},
Failed to generate link. Please try again.,လင့်ခ်ဖန်တီး၍မရပါ။ ထပ်ကြိုးစားပါ။,
Failed to load sessions.,ဆက်ရှင်များဖွင့်၍မရပါ။,
Features,လုပ်ဆောင်ချက်များ,
Full name,အမည်အပြည့်အစုံ,
Frappe Desk,Frappe Desk,
Generate link,လင့်ခ်ဖန်တီး,
Generating…,ဖန်တီးနေသည်…,
Guest Portal,ဧည့်သည်ပေါ်တယ်,
in {0},{0} တွင်,
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","သင့်အဆက်အသွယ်များအတွက် အက်ပ်ဖြတ်ကျော် အကြောင်းအရာကိုကြည့်ရန် Orga, Micro သို့မဟုတ် အခြားအက်ပ်များ တပ်ဆင်ပါ။",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,ရာထူး,
Keep running,ဆက်လက်လည်ပတ်,
Label,အညွှန်း,
Last accessed,နောက်ဆုံးဝင်ရောက်ချိန်,
Light,အလင်း,
Limit,ကန့်သတ်ချက်,
Link expires in:,လင့်ခ်သက်တမ်းကုန်ချိန်:,
Loading…,ဖွင့်နေသည်…,
Load more,ထပ်ဖွင့်,
Log out,ထွက်,
Make private,ကိုယ်ပိုင်လုပ်,
Mark all read,အားလုံးဖတ်ပြီးဟု မှတ်သား,
Mark read,ဖတ်ပြီးဟု မှတ်သား,
Monday,တနင်္လာ,
More fields,နောက်ထပ်အကွက်များ,
My contacts,ကျွန်ုပ်၏ အဆက်အသွယ်များ,
My Account,ကျွန်ုပ်၏ အကောင့်,
My Profile,ကျွန်ုပ်၏ ပရိုဖိုင်,
Never,ဘယ်တော့မှ,
New contact,အဆက်အသွယ်အသစ်,
No contacts found,အဆက်အသွယ်ရှာမတွေ့ပါ,
No expiry,သက်တမ်းကုန်ခြင်းမရှိ,
None,မရှိ,
No guest sessions yet.,ဧည့်သည်ဆက်ရှင်များ မရှိသေးပါ။,
No recent items,မကြာသေးမီ အရာများမရှိ,
No recent items yet,မကြာသေးမီ အရာများ မရှိသေးပါ,
No results for "{0}","{0}" အတွက် ရလဒ်မရှိ,
No results for "{0}" in {1},"{0}" အတွက် {1} တွင် ရလဒ်မရှိ,
Notifications,အသိပေးချက်များ,
Notification unavailable,အသိပေးချက် မရရှိနိုင်ပါ,
Organization Defaults,အဖွဲ့အစည်းပုံသေများ,
Organization settings updated — reload to apply,အဖွဲ့အစည်းဆက်တင်များ အပ်ဒိတ်ပြီး — အသုံးချရန် ပြန်ဖွင့်ပါ,
Org default,အဖွဲ့အစည်းပုံသေ,
"Password, 2FA, profile picture","စကားဝှက်, 2FA, ပရိုဖိုင်ဓာတ်ပုံ",
Pause,ခဏရပ်,
paused,ခဏရပ်ထား,
People,လူများ,
People with access,ဝင်ရောက်ခွင့်ရှိသူများ,
Permissions,ခွင့်ပြုချက်များ,
Pinned,ပင်ထိုးထား,
Powered by Tonic,Tonic ဖြင့် ပံ့ပိုးထား,
Phone,ဖုန်း,
Private,ကိုယ်ပိုင်,
Product Manager,Product Manager,
Preferences,စိတ်ကြိုက်ရွေးချယ်မှုများ,
Read,ဖတ်,
Recent,မကြာသေးမီ,
Reload,ပြန်ဖွင့်,
Remove bookmark,စာမှတ်ဖယ်ရှား,
Remove from shared,မျှဝေမှုမှ ဖယ်ရှား,
Remove from recent,မကြာသေးမီမှ ဖယ်ရှား,
Resume,ပြန်စတင်,
Retry,ထပ်ကြိုးစား,
Revoke,ပယ်ဖျက်,
Revoked,ပယ်ဖျက်ပြီး,
Revoke session,ဆက်ရှင်ပယ်ဖျက်,
Revoking…,ပယ်ဖျက်နေသည်…,
Saved,သိမ်းဆည်းပြီး,
Save failed,သိမ်းဆည်း မအောင်မြင်,
Save organization settings,အဖွဲ့အစည်းဆက်တင်များ သိမ်းဆည်း,
Saving…,သိမ်းဆည်းနေသည်…,
Search...,ရှာဖွေ...,
"Search by name, email, or phone…","အမည်, အီးမေးလ် သို့မဟုတ် ဖုန်းဖြင့် ရှာဖွေ…",
Search users...,အသုံးပြုသူများ ရှာဖွေ...,
Share {0} {1},{0} {1} မျှဝေ,
Submit,တင်ပို့,
Search in All apps,အက်ပ်အားလုံးတွင် ရှာဖွေ,
Search unavailable,ရှာဖွေမှု မရရှိနိုင်ပါ,
selected,ရွေးချယ်ပြီး,
Share "{0}","{0}" မျှဝေ,
Share with team,အဖွဲ့နှင့် မျှဝေ,
Shared,မျှဝေပြီး,
Shared with team,အဖွဲ့နှင့် မျှဝေပြီး,
Share with client,ဖောက်သည်နှင့် မျှဝေ,
Showing {0} of {1} sessions,ဆက်ရှင် {1} အနက် {0} ပြသနေသည်,
Site label,ဆိုက်အညွှန်း,
Sort: A–Z — click for last modified,စီစဉ်: A–Z — နောက်ဆုံးပြင်ဆင်ချိန်အတွက် နှိပ်,
Sort: last modified — click for A–Z,စီစဉ်: နောက်ဆုံးပြင်ဆင်ချိန် — A–Z အတွက် နှိပ်,
Start,စတင်,
Start Timer,အချိန်တိုင်းကိရိယာ စတင်,
Status,အခြေအနေ,
Stop,ရပ်,
Stop & Save,ရပ်ပြီး သိမ်းဆည်း,
Sunday,တနင်္ဂနွေ,
System,စနစ်,
Theme,အပြင်အဆင်,
Theme preference,အပြင်အဆင် စိတ်ကြိုက်ရွေးချယ်မှု,
This email is already on,ဤအီးမေးလ် ရှိပြီးသား,
This link has been deactivated.,ဤလင့်ခ် ပိတ်ထားပြီးဖြစ်သည်။,
This link has expired. Please ask the sender for a new link.,ဤလင့်ခ် သက်တမ်းကုန်ပြီ။ ပေးပို့သူထံ လင့်ခ်အသစ် တောင်းပါ။,
This link is invalid or has been removed.,ဤလင့်ခ် မမှန်ကန် သို့မဟုတ် ဖယ်ရှားပြီးဖြစ်သည်။,
Time,အချိန်,
Time entry saved,အချိန်မှတ်တမ်း သိမ်းဆည်းပြီး,
Timer unavailable,အချိန်တိုင်းကိရိယာ မရရှိနိုင်ပါ,
Timezone,အချိန်ဇုန်,
total,စုစုပေါင်း,
Try again,ထပ်ကြိုးစား,
Unread,မဖတ်ရသေး,
Open calendar,ပြက္ခဒိန်ဖွင့်,
Open in Desk,Desk တွင် ဖွင့်,
Open in {0},{0} တွင် ဖွင့်,
User menu,အသုံးပြုသူ မီနူး,
View existing →,ရှိပြီးသား ကြည့်ရန် →,
Visibility,မြင်နိုင်မှု,
View,ကြည့်ရှု,
View all notifications,အသိပေးချက်အားလုံး ကြည့်ရှု,
View time entry,အချိန်မှတ်တမ်း ကြည့်ရှု,
Week starts on,ရက်သတ္တပတ် စတင်ရက်,
Write,ရေးသား,
What are you working on?,ဘာလုပ်နေပါသလဲ?,
You're all caught up,အားလုံးပြီးပြီ,
Your Preferences,သင်၏ စိတ်ကြိုက်ရွေးချယ်မှုများ,
Your timer has been running for {0},သင့်အချိန်တိုင်းကိရိယာ {0} ကြာပြီ,
Actions,လုပ်ဆောင်ချက်များ,
Add details about this event...,ဤပွဲအကြောင်း အသေးစိတ်ထည့်...,
Add event,ပွဲထည့်,
Agenda,အစီအစဉ်,
All day,တစ်နေ့တာ,
Calendar,ပြက္ခဒိန်,
Create Event,ပွဲဖန်တီး,
Create in:,ဖန်တီးရန်:,
Day,ရက်,
Deadline,သတ်မှတ်ရက်,
Delete Event,ပွဲဖျက်,
Delete this event? This cannot be undone.,ဤပွဲကို ဖျက်မလား? ပြန်ပြင်၍မရပါ။,
Deleting…,ဖျက်နေသည်…,
Description,ဖော်ပြချက်,
Details,အသေးစိတ်,
End,အဆုံး,
Event,ပွဲ,
Event title,ပွဲခေါင်းစဉ်,
Failed to create event,ပွဲဖန်တီး၍ မရပါ,
Failed to delete event,ပွဲဖျက်၍ မရပါ,
Manage this event in,ဤပွဲကို စီမံရန်,
Meeting,အစည်းအဝေး,
Milestone,မှတ်တိုင်,
Month,လ,
My calendars,ကျွန်ုပ်၏ ပြက္ခဒိန်များ,
New Event,ပွဲအသစ်,
No actions available,လုပ်ဆောင်ချက် မရရှိနိုင်ပါ,
No events,ပွဲမရှိ,
Open in,ဖွင့်ရန်,
Other,အခြား,
Permanently remove this event,ဤပွဲကို အပြီးတိုင်ဖယ်ရှား,
Review,ပြန်လည်သုံးသပ်,
Source,ရင်းမြစ်,
Start date/time is required,စတင်ရက်/အချိန် လိုအပ်ပါသည်,
Title,ခေါင်းစဉ်,
Title is required,ခေါင်းစဉ် လိုအပ်ပါသည်,
Today,ယနေ့,
Type,အမျိုးအစား,
View full details in the source app,ရင်းမြစ်အက်ပ်တွင် အသေးစိတ်အပြည့်အစုံ ကြည့်ရှု,
Week,ရက်သတ္တပတ်,
When,ဘယ်အချိန်,
{0} available,{0} ရရှိနိုင်,
Available,ရရှိနိုင်,
Configure Frappe Manager to enable one-click updates.,တစ်ချက်နှိပ် အပ်ဒိတ်များ ဖွင့်ရန် Frappe Manager ကို ပြင်ဆင်ပါ။,
Copy command,ညွှန်ကြားချက်ကူးယူ,
Ecosystem Apps,ဂေဟစနစ်အက်ပ်များ,
Failed,မအောင်မြင်,
Install,တပ်ဆင်,
Installed,တပ်ဆင်ပြီး,
Learn more,ပိုမိုလေ့လာ,
No apps found,အက်ပ်ရှာမတွေ့ပါ,
not installed,မတပ်ဆင်ရသေး,
Open,ဖွင့်,
Pro available,Pro ရရှိနိုင်,
Queued…,တန်းစီနေသည်…,
Refresh,ပြန်ဖွင့်,
Remove,ဖယ်ရှား,
Remove {0}? This will uninstall the app and may affect data.,{0} ကို ဖယ်ရှားမလား? ဤသည် အက်ပ်ကို ဖြုတ်ပြီး ဒေတာကို ထိခိုက်နိုင်ပါသည်။,
Restart required,ပြန်စတင်ရန် လိုအပ်,
Restarting…,ပြန်စတင်နေသည်…,
"To install {0}, run:","{0} ကို တပ်ဆင်ရန်, ရိုက်ပါ:",
"To update {0}, run:","{0} ကို အပ်ဒိတ်ရန်, ရိုက်ပါ:",
Update {0} from v{1} to {2}? This will restart Frappe.,{0} ကို v{1} မှ {2} သို့ အပ်ဒိတ်မလား? ဤသည် Frappe ကို ပြန်စတင်ပါမည်။,
Update to {0},{0} သို့ အပ်ဒိတ်,
Updated,အပ်ဒိတ်ပြီး,
Updating…,အပ်ဒိတ်နေသည်…,
Up to date,နောက်ဆုံးပေါ်ဖြစ်ပြီ,
to version,ဗားရှင်းသို့,
For whom?,မည်သူအတွက်?,
Working on?,ဘာလုပ်နေသလဲ?,
Search contacts...,အဆက်အသွယ်များ ရှာဖွေ...,
Select type...,အမျိုးအစားရွေးချယ်...,
Context,အကြောင်းအရာ,
Contact,အဆက်အသွယ်,
Context Type,အကြောင်းအရာ အမျိုးအစား,
Activity,လှုပ်ရှားမှု,
Activity will appear here as you and your team work across ecosystem apps.,သင်နှင့် သင့်အဖွဲ့ ဂေဟစနစ်အက်ပ်များတွင် လုပ်ဆောင်သည်နှင့်အမျှ လှုပ်ရှားမှုများ ဤနေရာတွင် ပေါ်လာပါမည်။,
Acknowledge,အသိအမှတ်ပြု,
All apps,အက်ပ်အားလုံး,
All Discussions,ဆွေးနွေးမှုအားလုံး,
All types,အမျိုးအစားအားလုံး,
Archived,သိမ်းဆည်းထားပြီး,
Cancel,ပယ်ဖျက်,
Celebrate,ဂုဏ်ပြု,
Comments,မှတ်ချက်များ,
Create Discussion,ဆွေးနွေးမှုဖန်တီး,
Creating…,ဖန်တီးနေသည်…,
Ctrl+Enter to send,Ctrl+Enter နှိပ်ပြီး ပို့,
Decision,ဆုံးဖြတ်ချက်,
Discussion not found,ဆွေးနွေးမှု ရှာမတွေ့ပါ,
Discussion title,ဆွေးနွေးမှု ခေါင်းစဉ်,
Discussions,ဆွေးနွေးမှုများ,
Flag,အလံ,
General,အထွေထွေ,
just now,ယခုလေးတင်,
Keep commenting,ဆက်လက် မှတ်ချက်ပေး,
Linked Records,ချိတ်ဆက်ထားသော မှတ်တမ်းများ,
Linked to,ချိတ်ဆက်ထား,
Load more,ထပ်ဖွင့်,
Loading…,ဖွင့်နေသည်…,
Meeting Protocol,အစည်းအဝေး မှတ်တမ်း,
Mentioned,ဖော်ပြထား,
New Discussion,ဆွေးနွေးမှုအသစ်,
No activity yet,လှုပ်ရှားမှု မရှိသေးပါ,
No comments yet,မှတ်ချက် မရှိသေးပါ,
No discussions found,ဆွေးနွေးမှု ရှာမတွေ့ပါ,
No discussions yet,ဆွေးနွေးမှု မရှိသေးပါ,
Note,မှတ်စု,
Notes,မှတ်စုများ,
Participants,ပါဝင်သူများ,
Pin,ပင်ထိုး,
Pinned,ပင်ထိုးထား,
Proposal,အဆိုပြု,
Protocol,မှတ်တမ်း,
Reopen,ပြန်ဖွင့်,
Replies,ပြန်ကြားချက်များ,
Reply,ပြန်ကြား,
Replying to comment,မှတ်ချက်ကို ပြန်ကြားနေ,
Resolve,ဖြေရှင်း,
Resolve Discussion,ဆွေးနွေးမှု ဖြေရှင်း,
Resolved,ဖြေရှင်းပြီး,
Resolution,ဖြေရှင်းချက်,
Resolution summary...,ဖြေရှင်းချက် အကျဉ်းချုပ်...,
Retrospective,ပြန်လည်သုံးသပ်,
Search discussions...,ဆွေးနွေးမှုများ ရှာဖွေ...,
Seen,မြင်ပြီး,
Send,ပို့,
Start Discussion,ဆွေးနွေးမှု စတင်,
Unpin,ပင်ဖြုတ်,
Write a comment...,မှတ်ချက်ရေးပါ...,
Write your discussion content...,သင့်ဆွေးနွေးမှု အကြောင်းအရာရေးပါ...,
resolved,ဖြေရှင်းပြီး,
unread,မဖတ်ရသေး,
{0} mentioned you in a comment,{0} မှတ်ချက်တွင် သင့်ကို ဖော်ပြထား,
{0} is already an attendee.,{0} သည် တက်ရောက်သူ ဖြစ်ပြီးသား။,
{0} is not an attendee.,{0} သည် တက်ရောက်သူ မဟုတ်ပါ။,
{0} is not installed,{0} မတပ်ဆင်ရသေး,
{0} results found,ရလဒ် {0} ခု တွေ့ရှိ,
+ Add tags,+ တက်ဂ်များထည့်,
A→Z,A→Z,
Accept,လက်ခံ,
Action failed,လုပ်ဆောင်ချက် မအောင်မြင်,
Active now,ယခု အသက်ဝင်,
Add a note,မှတ်စုထည့်,
"Add a note to keep track of details about this contact.","ဤအဆက်အသွယ်အကြောင်း အသေးစိတ်ကို မှတ်သားရန် မှတ်စုထည့်ပါ။",
Add address,လိပ်စာထည့်,
Add another address,နောက်ထပ်လိပ်စာထည့်,
Add birthday,မွေးနေ့ထည့်,
Add company,ကုမ္ပဏီထည့်,
Add job title,ရာထူးထည့်,
Add more tags...,တက်ဂ်များ ထပ်ထည့်...,
Add tags...,တက်ဂ်များထည့်...,
"Address is not linked to this contact","လိပ်စာကို ဤအဆက်အသွယ်နှင့် ချိတ်ဆက်မထား",
"Address line 1, city, and country are required","လိပ်စာလိုင်း 1, မြို့ နှင့် နိုင်ငံ လိုအပ်ပါသည်",
ago,အကြာ,
All companies,ကုမ္ပဏီအားလုံး,
All day event,တစ်နေ့တာ ပွဲ,
"Apartment, suite, etc.","တိုက်ခန်း, အခန်း, စသည်",
Apps,အက်ပ်များ,
Archive contact,အဆက်အသွယ် သိမ်းဆည်း,
Attendees,တက်ရောက်သူများ,
available,ရရှိနိုင်,
Best regards,လေးစားစွာဖြင့်,
Bookmarks,စာမှတ်များ,
"Both proposed start and end times are required.","အဆိုပြု စတင်ချိန်နှင့် ပြီးဆုံးချိန် နှစ်ခုလုံး လိုအပ်ပါသည်။",
Break,အနားယူ,
Bridge not registered,Bridge မှတ်ပုံတင်မထား,
Calendar Settings,ပြက္ခဒိန် ဆက်တင်များ,
Call,ခေါ်ဆို,
Cannot change bookmark owner,စာမှတ် ပိုင်ရှင်ပြောင်း၍မရ,
Cannot revoke your current session,သင့် လက်ရှိဆက်ရှင်ကို ပယ်ဖျက်၍မရ,
Change Password,စကားဝှက်ပြောင်း,
Change photo,ဓာတ်ပုံပြောင်း,
Check Status,အခြေအနေစစ်ဆေး,
City,မြို့,
Clear,ရှင်းလင်း,
Clear filters,စစ်ထုတ်မှုများ ရှင်းလင်း,
Close search,ရှာဖွေမှုပိတ်,
Cmd+Enter to save,Cmd+Enter နှိပ်ပြီး သိမ်းဆည်း,
Coming soon,မကြာမီ ရောက်လာမည်,
Coming up!,ရောက်လာတော့မည်!,
Comment,မှတ်ချက်,
Community Edition,အသိုင်းအဝိုင်းထုတ်ဝေမှု,
Complete,ပြီးဆုံး,
Confirm new password,စကားဝှက်အသစ် အတည်ပြု,
Copy,ကူးယူ,
Could not load notes,မှတ်စုများ ဖွင့်၍မရပါ,
Country,နိုင်ငံ,
"Country '{0}' not found. Please select a valid country.","နိုင်ငံ '{0}' ရှာမတွေ့ပါ။ မှန်ကန်သော နိုင်ငံတစ်ခု ရွေးချယ်ပါ။",
Create a contact to get started,စတင်ရန် အဆက်အသွယ်ဖန်တီးပါ,
Created event: {0},ပွဲဖန်တီးပြီး: {0},
Creating...,ဖန်တီးနေသည်...,
Current,လက်ရှိ,
Current password,လက်ရှိ စကားဝှက်,
Current password is incorrect,လက်ရှိ စကားဝှက် မမှန်ကန်ပါ,
Currency,ငွေကြေး,
Date,ရက်စွဲ,
Decline,ငြင်းပယ်,
Department,ဌာန,
Do Not Contact,ဆက်သွယ်မပါနှင့်,
Dock,Dock,
Download,ဒေါင်းလုဒ်,
"e.g. en, fr, de","ဥပမာ en, fr, de",
Edit,တည်းဖြတ်,
Edit address,လိပ်စာ တည်းဖြတ်,
Edit Timer,အချိန်တိုင်းကိရိယာ တည်းဖြတ်,
Email addresses,အီးမေးလ် လိပ်စာများ,
Enabled,ဖွင့်ထား,
"End time was before start time. Adjusted to 1 hour after start.","ပြီးဆုံးချိန်သည် စတင်ချိန်မတိုင်မီ ဖြစ်နေသည်။ စတင်ချိန်ပြီး 1 နာရီသို့ ချိန်ညှိပြီး။",
Error,အမှား,
Event '{0}' status changed to {1},ပွဲ '{0}' အခြေအနေ {1} သို့ ပြောင်းပြီး,
Event Type,ပွဲ အမျိုးအစား,
events,ပွဲများ,
External,ပြင်ပ,
External — no user account,ပြင်ပ — အသုံးပြုသူ အကောင့်မရှိ,
Failed to change password,စကားဝှက်ပြောင်း၍ မရပါ,
Failed to check status,အခြေအနေစစ်ဆေး၍ မရပါ,
Failed to load apps,အက်ပ်များဖွင့်၍ မရပါ,
Failed to load settings,ဆက်တင်များဖွင့်၍ မရပါ,
"Field '{0}' is not editable","အကွက် '{0}' ကို တည်းဖြတ်၍မရ",
Files,ဖိုင်များ,
First Name,ပထမအမည်,
Focus,အာရုံစိုက်,
"Frappe Manager URL is not configured in Dock Settings.","Frappe Manager URL ကို Dock ဆက်တင်များတွင် ပြင်ဆင်မထားပါ။",
Hello {0},မင်္ဂလာပါ {0},
Inactive,မသက်ဝင်,
Integrations,ပေါင်းစည်းမှုများ,
Internal,အတွင်းပိုင်း,
Internal — has a user account,အတွင်းပိုင်း — အသုံးပြုသူ အကောင့်ရှိ,
Invalid RSVP status,RSVP အခြေအနေ မမှန်ကန်,
Invalid status,အခြေအနေ မမှန်ကန်,
"Invalid status. Must be one of: {0}","အခြေအနေ မမှန်ကန်ပါ။ {0} ထဲမှ တစ်ခု ဖြစ်ရမည်",
"Invitation: {0} — {1} at {2}","ဖိတ်ကြားစာ: {0} — {1} {2} တွင်",
Invite People,လူများဖိတ်ကြား,
Join meeting →,အစည်းအဝေးဝင်ရောက် →,
Language,ဘာသာစကား,
Last activity,နောက်ဆုံး လှုပ်ရှားမှု,
Last modified,နောက်ဆုံး ပြင်ဆင်ချိန်,
Last Name,မျိုးနွယ်အမည်,
Last sync,နောက်ဆုံး ချိန်ကိုက်,
Link user account,အသုံးပြုသူ အကောင့်ချိတ်ဆက်,
Linked records,ချိတ်ဆက်ထားသော မှတ်တမ်းများ,
Loading settings...,ဆက်တင်များ ဖွင့်နေသည်...,
Loading...,ဖွင့်နေသည်...,
Location,တည်နေရာ,
Mark Do Not Contact,ဆက်သွယ်မပါနှင့်ဟု မှတ်သား,
Maybe,ဖြစ်နိုင်သည်,
