source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 ngày,
7 days,7 ngày,
90 days,90 ngày,
Acme Corp,Acme Corp,
Active,Đang hoạt động,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Các trường bổ sung (địa chỉ, ghi chú, v.v.) có thể được chỉnh sửa sau khi tạo liên hệ.",
Add,Thêm,
Add people,Thêm người,
Adding…,Đang thêm…,
Add bookmark,Thêm dấu trang,
All logged-in users,Tất cả người dùng đã đăng nhập,
All logged-in users can view this document,Tất cả người dùng đã đăng nhập có thể xem tài liệu này,
Add notes...,Thêm ghi chú...,
All,Tất cả,
A–Z,A–Z,
Blank = org default,Để trống = mặc định tổ chức,
Bookmark limit reached (12),Đã đạt giới hạn dấu trang (12),
Bookmark limit reached (12). Remove a bookmark to add another.,Đã đạt giới hạn dấu trang (12). Xóa một dấu trang để thêm cái khác.,
Bookmark this record,Đánh dấu trang bản ghi này,
App context,Ngữ cảnh ứng dụng,
App switcher,Chuyển đổi ứng dụng,
Browse all apps →,Duyệt tất cả ứng dụng →,
Install apps →,Cài đặt ứng dụng →,
Cancel,Hủy,
Clear recent items history,Xóa lịch sử mục gần đây,
Company,Công ty,
Compose email,Soạn email,
contact,liên hệ,
contacts,liên hệ,
Could not create contact,Không thể tạo liên hệ,
Could not load contact,Không thể tải liên hệ,
Could not add user. Please try again.,Không thể thêm người dùng. Vui lòng thử lại.,
Could not load contacts,Không thể tải danh sách liên hệ,
Could not load shares,Không thể tải chia sẻ,
Create,Tạo,
Create & Open,Tạo & Mở,
Create a contact or adjust your filters,Tạo liên hệ hoặc điều chỉnh bộ lọc của bạn,
Creating…,Đang tạo…,
History cleared,Đã xóa lịch sử,
This will remove all recent items. Continue?,Thao tác này sẽ xóa tất cả mục gần đây. Tiếp tục?,
Close,Đóng,
Content is temporarily unavailable.,Nội dung tạm thời không khả dụng.,
Copied!,Đã sao chép!,
Copy link,Sao chép liên kết,
Copy portal URL,Sao chép URL cổng thông tin,
Dark,Tối,
Date format,Định dạng ngày,
Default app on login,Ứng dụng mặc định khi đăng nhập,
Discover ecosystem apps,Khám phá ứng dụng hệ sinh thái,
Delete,Xóa,
Displayed in the top bar,Hiển thị trên thanh trên cùng,
Dock Settings,Cài đặt Dock,
Done,Xong,
Done editing,Hoàn tất chỉnh sửa,
Drag to reorder {0},Kéo để sắp xếp lại {0},
Edit bookmarks,Chỉnh sửa dấu trang,
e.g. Europe/Berlin,vd. Europe/Berlin,
Email,Email,
Enable bookmarks,Bật dấu trang,
Everyone,Mọi người,
Enable global timer,Bật bộ hẹn giờ toàn cục,
Enable recent items,Bật mục gần đây,
Expired,Đã hết hạn,
Expires,Hết hạn,
Expires: {0},Hết hạn: {0},
Failed to generate link. Please try again.,Không thể tạo liên kết. Vui lòng thử lại.,
Failed to load sessions.,Không thể tải phiên.,
Features,Tính năng,
Full name,Họ và tên,
Frappe Desk,Frappe Desk,
Generate link,Tạo liên kết,
Generating…,Đang tạo…,
Guest Portal,Cổng khách,
in {0},trong {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Cài đặt Orga, Micro, hoặc các ứng dụng khác để xem ngữ cảnh liên ứng dụng cho danh bạ của bạn.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Chức danh,
Keep running,Tiếp tục chạy,
Label,Nhãn,
Last accessed,Truy cập lần cuối,
Light,Sáng,
Limit,Giới hạn,
Link expires in:,Liên kết hết hạn sau:,
Loading…,Đang tải…,
Load more,Tải thêm,
Log out,Đăng xuất,
Make private,Đặt riêng tư,
Mark all read,Đánh dấu tất cả đã đọc,
Mark read,Đánh dấu đã đọc,
Monday,Thứ Hai,
More fields,Thêm trường,
My contacts,Liên hệ của tôi,
My Account,Tài khoản của tôi,
My Profile,Hồ sơ của tôi,
Never,Không bao giờ,
New contact,Liên hệ mới,
No contacts found,Không tìm thấy liên hệ,
No expiry,Không hết hạn,
None,Không có,
No guest sessions yet.,Chưa có phiên khách nào.,
No recent items,Không có mục gần đây,
No recent items yet,Chưa có mục gần đây,
No results for "{0}",Không có kết quả cho "{0}",
No results for "{0}" in {1},Không có kết quả cho "{0}" trong {1},
Notifications,Thông báo,
Notification unavailable,Thông báo không khả dụng,
Organization Defaults,Mặc định tổ chức,
Organization settings updated — reload to apply,Cài đặt tổ chức đã cập nhật — tải lại để áp dụng,
Org default,Mặc định tổ chức,
"Password, 2FA, profile picture","Mật khẩu, 2FA, ảnh hồ sơ",
Pause,Tạm dừng,
paused,đã tạm dừng,
People,Mọi người,
People with access,Người có quyền truy cập,
Permissions,Quyền hạn,
Pinned,Đã ghim,
Powered by Tonic,Được cung cấp bởi Tonic,
Phone,Điện thoại,
Private,Riêng tư,
Product Manager,Product Manager,
Preferences,Tùy chọn,
Read,Đọc,
Recent,Gần đây,
Reload,Tải lại,
Remove bookmark,Xóa dấu trang,
Remove from shared,Xóa khỏi chia sẻ,
Remove from recent,Xóa khỏi gần đây,
Resume,Tiếp tục,
Retry,Thử lại,
Revoke,Thu hồi,
Revoked,Đã thu hồi,
Revoke session,Thu hồi phiên,
Revoking…,Đang thu hồi…,
Saved,Đã lưu,
Save failed,Lưu thất bại,
Save organization settings,Lưu cài đặt tổ chức,
Saving…,Đang lưu…,
Search...,Tìm kiếm...,
"Search by name, email, or phone…","Tìm kiếm theo tên, email, hoặc số điện thoại…",
Search users...,Tìm kiếm người dùng...,
Share {0} {1},Chia sẻ {0} {1},
Submit,Gửi,
Search in All apps,Tìm kiếm trong Tất cả ứng dụng,
Search unavailable,Tìm kiếm không khả dụng,
selected,đã chọn,
Share "{0}",Chia sẻ "{0}",
Share with team,Chia sẻ với nhóm,
Shared,Đã chia sẻ,
Shared with team,Đã chia sẻ với nhóm,
Share with client,Chia sẻ với khách hàng,
Showing {0} of {1} sessions,Hiển thị {0} trong {1} phiên,
Site label,Nhãn trang web,
Sort: A–Z — click for last modified,Sắp xếp: A–Z — nhấp để xem thay đổi gần nhất,
Sort: last modified — click for A–Z,Sắp xếp: thay đổi gần nhất — nhấp để xem A–Z,
Start,Bắt đầu,
Start Timer,Bắt đầu hẹn giờ,
Status,Trạng thái,
Stop,Dừng,
Stop & Save,Dừng & Lưu,
Sunday,Chủ Nhật,
System,Hệ thống,
Theme,Giao diện,
Theme preference,Tùy chọn giao diện,
This email is already on,Email này đã có trên,
This link has been deactivated.,Liên kết này đã bị vô hiệu hóa.,
This link has expired. Please ask the sender for a new link.,Liên kết này đã hết hạn. Vui lòng yêu cầu người gửi cung cấp liên kết mới.,
This link is invalid or has been removed.,Liên kết này không hợp lệ hoặc đã bị xóa.,
Time,Thời gian,
Time entry saved,Đã lưu mục thời gian,
Timer unavailable,Bộ hẹn giờ không khả dụng,
Timezone,Múi giờ,
total,tổng cộng,
Try again,Thử lại,
Unread,Chưa đọc,
Open calendar,Mở lịch,
Open in Desk,Mở trong Desk,
Open in {0},Mở trong {0},
User menu,Menu người dùng,
View existing →,Xem hiện có →,
Visibility,Khả năng hiển thị,
View,Xem,
View all notifications,Xem tất cả thông báo,
View time entry,Xem mục thời gian,
Week starts on,Tuần bắt đầu vào,
Write,Viết,
What are you working on?,Bạn đang làm gì?,
You're all caught up,Bạn đã xem hết tất cả,
Your Preferences,Tùy chọn của bạn,
Your timer has been running for {0},Bộ hẹn giờ của bạn đã chạy được {0},
Actions,Hành động,
Add details about this event...,Thêm chi tiết về sự kiện này...,
Add event,Thêm sự kiện,
Agenda,Lịch trình,
All day,Cả ngày,
Calendar,Lịch,
Create Event,Tạo sự kiện,
Create in:,Tạo trong:,
Day,Ngày,
Deadline,Hạn chót,
Delete Event,Xóa sự kiện,
Delete this event? This cannot be undone.,Xóa sự kiện này? Thao tác này không thể hoàn tác.,
Deleting…,Đang xóa…,
Description,Mô tả,
Details,Chi tiết,
End,Kết thúc,
Event,Sự kiện,
Event title,Tiêu đề sự kiện,
Failed to create event,Không thể tạo sự kiện,
Failed to delete event,Không thể xóa sự kiện,
Manage this event in,Quản lý sự kiện này trong,
Meeting,Cuộc họp,
Milestone,Cột mốc,
Month,Tháng,
My calendars,Lịch của tôi,
New Event,Sự kiện mới,
No actions available,Không có hành động khả dụng,
No events,Không có sự kiện,
Open in,Mở trong,
Other,Khác,
Permanently remove this event,Xóa vĩnh viễn sự kiện này,
Review,Đánh giá,
Source,Nguồn,
Start date/time is required,Ngày/giờ bắt đầu là bắt buộc,
Title,Tiêu đề,
Title is required,Tiêu đề là bắt buộc,
Today,Hôm nay,
Type,Loại,
View full details in the source app,Xem chi tiết đầy đủ trong ứng dụng nguồn,
Week,Tuần,
When,Khi nào,
{0} available,{0} khả dụng,
Available,Khả dụng,
Configure Frappe Manager to enable one-click updates.,Cấu hình Frappe Manager để bật cập nhật một lần nhấp.,
Copy command,Sao chép lệnh,
Ecosystem Apps,Ứng dụng hệ sinh thái,
Failed,Thất bại,
Install,Cài đặt,
Installed,Đã cài đặt,
Learn more,Tìm hiểu thêm,
No apps found,Không tìm thấy ứng dụng,
not installed,chưa cài đặt,
Open,Mở,
Pro available,Pro khả dụng,
Queued…,Đang chờ…,
Refresh,Làm mới,
Remove,Xóa,
Remove {0}? This will uninstall the app and may affect data.,Xóa {0}? Thao tác này sẽ gỡ cài đặt ứng dụng và có thể ảnh hưởng đến dữ liệu.,
Restart required,Cần khởi động lại,
Restarting…,Đang khởi động lại…,
"To install {0}, run:","Để cài đặt {0}, chạy:",
"To update {0}, run:","Để cập nhật {0}, chạy:",
