source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 dager,
7 days,7 dager,
90 days,90 dager,
Acme Corp,Acme Corp,
Active,Aktiv,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Tilleggsfelt (adresse, notater osv.) kan redigeres etter at kontakten er opprettet.",
Add,Legg til,
Add people,Legg til personer,
Adding…,Legger til…,
Add bookmark,Legg til bokmerke,
All logged-in users,Alle innloggede brukere,
All logged-in users can view this document,Alle innloggede brukere kan se dette dokumentet,
Add notes...,Legg til notater...,
All,Alle,
A–Z,A–Å,
Blank = org default,Tom = organisasjonsstandard,
Bookmark limit reached (12),Bokmerkegrense nådd (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Bokmerkegrense nådd (12). Fjern et bokmerke for å legge til et nytt.",
Bookmark this record,Bokmerk denne posten,
App context,Appkontekst,
App switcher,Appveksler,
Browse all apps →,Se alle apper →,
Install apps →,Installer apper →,
Cancel,Avbryt,
Clear recent items history,Tøm historikk for siste elementer,
Company,Selskap,
Compose email,Skriv e-post,
contact,kontakt,
contacts,kontakter,
Could not create contact,Kunne ikke opprette kontakt,
Could not load contact,Kunne ikke laste kontakt,
Could not add user. Please try again.,Kunne ikke legge til bruker. Prøv igjen.,
Could not load contacts,Kunne ikke laste kontakter,
Could not load shares,Kunne ikke laste delinger,
Create,Opprett,
Create & Open,Opprett og åpne,
Create a contact or adjust your filters,Opprett en kontakt eller juster filtrene dine,
Creating…,Oppretter…,
History cleared,Historikk tømt,
This will remove all recent items. Continue?,Dette fjerner alle siste elementer. Fortsette?,
Close,Lukk,
Content is temporarily unavailable.,Innholdet er midlertidig utilgjengelig.,
Copied!,Kopiert!,
Copy link,Kopier lenke,
Copy portal URL,Kopier portal-URL,
Dark,Mørk,
Date format,Datoformat,
Default app on login,Standardapp ved innlogging,
Discover ecosystem apps,Utforsk økosystemapper,
Delete,Slett,
Displayed in the top bar,Vises i topplinjen,
Dock Settings,Dock-innstillinger,
Done,Ferdig,
Done editing,Ferdig med redigering,
Drag to reorder {0},Dra for å endre rekkefølge på {0},
Edit bookmarks,Rediger bokmerker,
e.g. Europe/Berlin,f.eks. Europe/Berlin,
Email,E-post,
Enable bookmarks,Aktiver bokmerker,
Everyone,Alle,
Enable global timer,Aktiver global tidtaker,
Enable recent items,Aktiver siste elementer,
Expired,Utløpt,
Expires,Utløper,
Expires: {0},Utløper: {0},
Failed to generate link. Please try again.,Kunne ikke generere lenke. Prøv igjen.,
Failed to load sessions.,Kunne ikke laste økter.,
Features,Funksjoner,
