source,target,context
+ 1 555 000 0000,+ 1 555 000 0000,
30 days,30 dní,
7 days,7 dní,
90 days,90 dní,
Acme Corp,Acme Corp,
Active,Aktívne,
"Additional fields (address, notes, etc.) can be edited after creating the contact.","Ďalšie polia (adresa, poznámky atď.) môžeš upraviť po vytvorení kontaktu.",
Add,Pridať,
Add people,Pridať ľudí,
Adding…,Pridáva sa…,
Add bookmark,Pridať záložku,
All logged-in users,Všetci prihlásení používatelia,
All logged-in users can view this document,Všetci prihlásení používatelia môžu zobraziť tento dokument,
Add notes...,Pridať poznámky...,
All,Všetko,
A–Z,A–Z,
Blank = org default,Prázdne = predvolené nastavenie organizácie,
Bookmark limit reached (12),Dosiahnutý limit záložiek (12),
"Bookmark limit reached (12). Remove a bookmark to add another.","Dosiahnutý limit záložiek (12). Odober záložku, aby si mohol pridať ďalšiu.",
Bookmark this record,Pridať tento záznam do záložiek,
App context,Kontext aplikácie,
App switcher,Prepínač aplikácií,
Browse all apps →,Zobraziť všetky aplikácie →,
Install apps →,Nainštalovať aplikácie →,
Cancel,Zrušiť,
Clear recent items history,Vymazať históriu nedávnych položiek,
Company,Spoločnosť,
Compose email,Napísať e-mail,
contact,kontakt,
contacts,kontakty,
Could not create contact,Nepodarilo sa vytvoriť kontakt,
Could not load contact,Nepodarilo sa načítať kontakt,
Could not add user. Please try again.,Nepodarilo sa pridať používateľa. Skús to znova.,
Could not load contacts,Nepodarilo sa načítať kontakty,
Could not load shares,Nepodarilo sa načítať zdieľania,
Create,Vytvoriť,
Create & Open,Vytvoriť a otvoriť,
Create a contact or adjust your filters,Vytvor kontakt alebo uprav filtre,
Creating…,Vytvára sa…,
History cleared,História vymazaná,
This will remove all recent items. Continue?,Týmto sa odstránia všetky nedávne položky. Pokračovať?,
Close,Zavrieť,
Content is temporarily unavailable.,Obsah je dočasne nedostupný.,
Copied!,Skopírované!,
Copy link,Kopírovať odkaz,
Copy portal URL,Kopírovať URL portálu,
Dark,Tmavý,
Date format,Formát dátumu,
Default app on login,Predvolená aplikácia po prihlásení,
Discover ecosystem apps,Objavuj aplikácie ekosystému,
Delete,Odstrániť,
Displayed in the top bar,Zobrazené v hornom paneli,
Dock Settings,Dock Nastavenia,
Done,Hotovo,
Done editing,Úpravy dokončené,
Drag to reorder {0},Pretiahni pre zmenu poradia {0},
Edit bookmarks,Upraviť záložky,
e.g. Europe/Berlin,napr. Europe/Berlin,
Email,E-mail,
Enable bookmarks,Povoliť záložky,
Everyone,Všetci,
Enable global timer,Povoliť globálny časovač,
Enable recent items,Povoliť nedávne položky,
Expired,Vypršané,
Expires,Vyprší,
Expires: {0},Vyprší: {0},
Failed to generate link. Please try again.,Nepodarilo sa vygenerovať odkaz. Skús to znova.,
Failed to load sessions.,Nepodarilo sa načítať relácie.,
Features,Funkcie,
Full name,Celé meno,
Frappe Desk,Frappe Desk,
Generate link,Vygenerovať odkaz,
Generating…,Generuje sa…,
Guest Portal,Hosťovský portál,
in {0},v {0},
"Install Orga, Micro, or other apps to see cross-app context for your contacts.","Nainštaluj Orga, Micro alebo iné aplikácie pre zobrazenie kontextu kontaktov naprieč aplikáciami.",
jane@example.com,jane@example.com,
Jane Smith,Jane Smith,
Job title,Pracovná pozícia,
Keep running,Ponechať bežať,
Label,Popis,
Last accessed,Posledný prístup,
Light,Svetlý,
Limit,Limit,
Link expires in:,Odkaz vyprší o:,
Loading…,Načítava sa…,
Load more,Načítať viac,
Log out,Odhlásiť sa,
Make private,Nastaviť ako súkromné,
Mark all read,Označiť všetko ako prečítané,
Mark read,Označiť ako prečítané,
Monday,Pondelok,
More fields,Ďalšie polia,
My contacts,Moje kontakty,
My Account,Môj účet,
My Profile,Môj profil,
Never,Nikdy,
New contact,Nový kontakt,
No contacts found,Žiadne kontakty sa nenašli,
No expiry,Bez expirácie,
None,Žiadne,
No guest sessions yet.,Zatiaľ žiadne hosťovské relácie.,
No recent items,Žiadne nedávne položky,
No recent items yet,Zatiaľ žiadne nedávne položky,
No results for "{0}",Žiadne výsledky pre „{0}",
"No results for ""{0}"" in {1}","Žiadne výsledky pre „{0}" v {1}",
Notifications,Oznámenia,
Notification unavailable,Oznámenie nedostupné,
Organization Defaults,Predvolené nastavenia organizácie,
Organization settings updated — reload to apply,Nastavenia organizácie aktualizované — pre uplatnenie načítaj stránku znova,
Org default,Predvolené org.,
"Password, 2FA, profile picture","Heslo, 2FA, profilová fotka",
Pause,Pozastaviť,
paused,pozastavené,
People,Ľudia,
People with access,Ľudia s prístupom,
Permissions,Oprávnenia,
Pinned,Pripnuté,
Powered by Tonic,Powered by Tonic,
Phone,Telefón,
Private,Súkromné,
Product Manager,Product Manager,
Preferences,Predvoľby,
Read,Čítanie,
Recent,Nedávne,
Reload,Znova načítať,
Remove bookmark,Odstrániť záložku,
Remove from shared,Odstrániť zo zdieľaných,
Remove from recent,Odstrániť z nedávnych,
Resume,Pokračovať,
Retry,Skúsiť znova,
Revoke,Zrušiť,
Revoked,Zrušené,
Revoke session,Zrušiť reláciu,
Revoking…,Ruší sa…,
Saved,Uložené,
Save failed,Uloženie zlyhalo,
Save organization settings,Uložiť nastavenia organizácie,
Saving…,Ukladá sa…,
Search...,Hľadať...,
"Search by name, email, or phone…","Hľadať podľa mena, e-mailu alebo telefónu…",
Search users...,Hľadať používateľov...,
Share {0} {1},Zdieľať {0} {1},
Submit,Odoslať,
Search in All apps,Hľadať vo všetkých aplikáciách,
Search unavailable,Vyhľadávanie nedostupné,
selected,vybraných,
Share "{0}",Zdieľať „{0}",
Share with team,Zdieľať s tímom,
Shared,Zdieľané,
Shared with team,Zdieľané s tímom,
Share with client,Zdieľať s klientom,
Showing {0} of {1} sessions,Zobrazených {0} z {1} relácií,
Site label,Označenie stránky,
Sort: A–Z — click for last modified,Zoradiť: A–Z — klikni pre posledné úpravy,
Sort: last modified — click for A–Z,Zoradiť: posledné úpravy — klikni pre A–Z,
Start,Spustiť,
Start Timer,Spustiť časovač,
Status,Stav,
Stop,Zastaviť,
Stop & Save,Zastaviť a uložiť,
Sunday,Nedeľa,
System,Systém,
Theme,Téma,
Theme preference,Predvoľba témy,
This email is already on,Tento e-mail je už pridaný,
This link has been deactivated.,Tento odkaz bol deaktivovaný.,
This link has expired. Please ask the sender for a new link.,Tento odkaz vypršal. Požiadaj odosielateľa o nový odkaz.,
This link is invalid or has been removed.,Tento odkaz je neplatný alebo bol odstránený.,
Time,Čas,
Time entry saved,Časový záznam uložený,
Timer unavailable,Časovač nedostupný,
Timezone,Časové pásmo,
total,celkom,
Try again,Skúsiť znova,
Unread,Neprečítané,
Open calendar,Otvoriť kalendár,
Open in Desk,Otvoriť v Desk,
Open in {0},Otvoriť v {0},
User menu,Ponuka používateľa,
View existing →,Zobraziť existujúce →,
Visibility,Viditeľnosť,
View,Zobraziť,
View all notifications,Zobraziť všetky oznámenia,
View time entry,Zobraziť časový záznam,
Week starts on,Týždeň začína v,
Write,Zápis,
What are you working on?,Na čom pracuješ?,
You're all caught up,Všetko máš prečítané,
Your Preferences,Tvoje predvoľby,
Your timer has been running for {0},Tvoj časovač beží už {0},
Actions,Akcie,
Add details about this event...,Pridaj podrobnosti o tejto udalosti...,
Add event,Pridať udalosť,
Agenda,Agenda,
All day,Celý deň,
Calendar,Kalendár,
Create Event,Vytvoriť udalosť,
Create in:,Vytvoriť v:,
Day,Deň,
Deadline,Termín,
Delete Event,Odstrániť udalosť,
Delete this event? This cannot be undone.,Odstrániť túto udalosť? Túto akciu nie je možné vrátiť späť.,
Deleting…,Odstraňuje sa…,
Description,Popis,
Details,Podrobnosti,
End,Koniec,
Event,Udalosť,
Event title,Názov udalosti,
Failed to create event,Nepodarilo sa vytvoriť udalosť,
Failed to delete event,Nepodarilo sa odstrániť udalosť,
Manage this event in,Spravovať túto udalosť v,
Meeting,Stretnutie,
Milestone,Míľnik,
Month,Mesiac,
My calendars,Moje kalendáre,
New Event,Nová udalosť,
No actions available,Žiadne dostupné akcie,
No events,Žiadne udalosti,
Open in,Otvoriť v,
Other,Iné,
Permanently remove this event,Natrvalo odstrániť túto udalosť,
Review,Revízia,
Source,Zdroj,
Start date/time is required,Dátum a čas začiatku sú povinné,
Title,Názov,
Title is required,Názov je povinný,
Today,Dnes,
Type,Typ,
View full details in the source app,Zobraziť všetky podrobnosti v zdrojovej aplikácii,
Week,Týždeň,
When,Kedy,
{0} available,{0} dostupné,
Available,Dostupné,
Configure Frappe Manager to enable one-click updates.,Nakonfiguruj Frappe Manager pre povolenie aktualizácií jedným kliknutím.,
Copy command,Kopírovať príkaz,
Ecosystem Apps,Aplikácie ekosystému,
Failed,Zlyhalo,
Install,Nainštalovať,
Installed,Nainštalované,
Learn more,Zistiť viac,
No apps found,Žiadne aplikácie sa nenašli,
not installed,nenainštalované,
Open,Otvoriť,
Pro available,Pro dostupné,
Queued…,Vo fronte…,
Refresh,Obnoviť,
Remove,Odstrániť,
"Remove {0}? This will uninstall the app and may affect data.","Odstrániť {0}? Aplikácia sa odinštaluje a môže to ovplyvniť dáta.",
Restart required,Vyžaduje sa reštart,
Restarting…,Reštartuje sa…,
"To install {0}, run:","Pre inštaláciu {0} spusti:",
"To update {0}, run:","Pre aktualizáciu {0} spusti:",
"Update {0} from v{1} to {2}? This will restart Frappe.","Aktualizovať {0} z v{1} na {2}? Frappe sa reštartuje.",
Update to {0},Aktualizovať na {0},
Updated,Aktualizované,
Updating…,Aktualizuje sa…,
Up to date,Aktuálne,
to version,na verziu,
For whom?,Pre koho?,
Working on?,Na čom?,
Search contacts...,Hľadať kontakty...,
Select type...,Vyber typ...,
Context,Kontext,
Contact,Kontakt,
Context Type,Typ kontextu,
Activity,Aktivita,
Activity will appear here as you and your team work across ecosystem apps.,Aktivita sa tu zobrazí počas práce tvojho tímu naprieč aplikáciami ekosystému.,
Acknowledge,Potvrdiť,
All apps,Všetky aplikácie,
All Discussions,Všetky diskusie,
All types,Všetky typy,
Archived,Archivované,
Cancel,Zrušiť,
Celebrate,Osláviť,
Comments,Komentáre,
Create Discussion,Vytvoriť diskusiu,
Creating…,Vytvára sa…,
Ctrl+Enter to send,Ctrl+Enter pre odoslanie,
Decision,Rozhodnutie,
Discussion not found,Diskusia sa nenašla,
Discussion title,Názov diskusie,
Discussions,Diskusie,
Flag,Označiť,
General,Všeobecné,
just now,práve teraz,
Keep commenting,Pokračuj v komentovaní,
Linked Records,Prepojené záznamy,
Linked to,Prepojené s,
Load more,Načítať viac,
Loading…,Načítava sa…,
Meeting Protocol,Zápisnica zo stretnutia,
Mentioned,Spomenuté,
New Discussion,Nová diskusia,
No activity yet,Zatiaľ žiadna aktivita,
